Brand,Model,Color,Ram,Rom,Display_size_cm,Front Camera,Back Camera,Guaranty for phone,Processor,Guaranty for Accessories months,Reviews,Ratings,Battery,Price
Samsung,Galaxy A35 5G,Awesome Iceblue,8,256,16.76,13,50MP + 8MP + 5MP,1,Samsung Exynos 1380,6.0,"3,009","451,346",5000,19999
Samsung,Galaxy A35 5G,Awesome Lilac,8,128,16.76,13,50MP + 8MP + 5MP,1,Samsung Exynos 1380,6.0,"3,009","451,346",5000,17999
Samsung,Galaxy A35 5G,Awesome Navy,8,256,16.76,13,50MP + 8MP + 5MP,1,Samsung Exynos 1380,6.0,"3,009","451,346",5000,19999
Samsung,Galaxy A35 5G,Awesome Iceblue,8,128,16.76,13,50MP + 8MP + 5MP,1,Samsung Exynos 1380,6.0,"3,009","451,346",5000,17999
Oppo,K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI,Midnight Violet,6,128,16.94,8,50MP + 2MP,1,Dimensity 6300,6.0,"5,061","562,469",6000,12999
Samsung,Galaxy S24 5G Snapdragon,Cobalt Violet,8,256,16.74,12,50MP + 12MP,1,8 Gen 3,6.0,"2,327","642,929",4000,44999
Samsung,Galaxy A35 5G,Awesome Navy,8,128,16.76,13,50MP + 8MP + 5MP,1,Samsung Exynos 1380,6.0,"3,009","451,346",5000,17999
Samsung,Galaxy A35 5G,Awesome Lilac,8,256,16.76,13,50MP + 8MP + 5MP,1,Exynos 1380,6.0,"3,009","451,346",5000,19999
Oppo,K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI,Sunset Peach,4,128,16.94,8,50MP + 2MP,1,Dimensity 6300,6.0,"1,336","416,326",6000,11999
Realme,P3 Ultra 5G,Orion Red,8,256,17.35,16,50MP + 8MP,1,Dimensity 8350 Ultra,6.0,"1,339","413,353",6000,19999
Vivo,T4x 5G,Marine Blue,8,128,17.06,8,50MP + 2MP,1,Dimensity 7300 5G,6.0,"6,106","41,26,663",6500,14499
Realme,P3 Pro 5G,Nebula Glow,12,256,17.35,16,50MP + 2MP,1,7s Gen 3 Mobile Platform,6.0,234,"42,999",6000,18999
Oppo,K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI,Breeze Blue,6,128,16.94,8,50MP + 2MP,1,Dimensity 6300,6.0,"5,061","562,469",6000,12999
Realme,P3 Ultra 5G,Orion Red,8,128,17.35,16,50MP + 8MP,1,Dimensity 8350 Ultra,6.0,"1,339","413,353",6000,18999
Realme,P4 5G,Engine Blue,6,128,17.02,16,50MP + 8MP,1,Mediatek Dimensity 7400,6.0,786,"412,077",7000,17499
Samsung,Galaxy F36 5G,Black,6,128,17.02,13,50MP + 8MP + 2MP,1,Samsung Exynos 1380,6.0,331,"36,067",5000,13999
Samsung,Galaxy S24 5G Snapdragon,Amber Yellow,8,128,16.74,12,50MP + 12MP,1,8 Gen 3,6.0,"2,327","642,929",4000,39999
Vivo,T4x 5G,Marine Blue,6,128,17.06,8,50MP + 2MP,1,Dimensity 7300 5G,6.0,"7,595","41,69,872",6500,13499
Redmi,Note 14 SE 5G,Crimson Art,6,128,16.94,20,50MP + 8MP + 2MP,1,Dimensity 7025 Ultra,6.0,446,"311,459",5110,14999
Oppo,K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI,Sunset Peach,6,128,16.94,8,50MP + 2MP,1,Dimensity 6300,6.0,"5,061","562,469",6000,12999
Vivo,T4x 5G,Glacial Teal,6,128,17.06,8,50MP + 2MP,1,Dimensity 7300 5G,6.0,"7,595","41,69,872",6500,13499
Realme,Narzo 80 Lite 5G,Crystal Purple,6,128,16.94,16,108MP + 2MP,1,MediaTek Helio,6.0,83,"32,245",6000,10564
Realme,15x 5G,Marine Blue,6,128,17.02,50,50MP,1,Dimensity 6300 6nm Octa-core chipset,6.0,79,"41,137",7000,16999
Realme,P3x 5G,Stellar Pink,6,128,17.06,8,50MP,1,Dimensity 6400,6.0,"1,950","454,107",6000,11499
Realme,P3 Ultra 5G,Neptune Blue,8,128,17.35,16,50MP + 8MP,1,Dimensity 8350 Ultra,6.0,"1,339","413,353",6000,18999
Realme,P4 Pro 5G,Midnight Ivy,8,256,17.02,50,50MP + 8MP,1,Snapdragon 7 Gen 4 Mobile,6.0,958,"411,378",7000,25999
Samsung,Galaxy S24 FE 5G,Graphite,8,128,17.02,10,50MP + 12MP,1,Exynos 2400e,6.0,"3,650","557,594",4700,30999
Realme,P4 5G,Forge Red,6,128,17.02,16,50MP + 8MP,1,Mediatek Dimensity 7400,6.0,786,"412,077",7000,17499
