Brand,Model,Color,Ram,Rom,Display_size_cm,Front Camera,Back Camera,Guaranty for phone,Processor,Guaranty for Accessories months,Reviews,Ratings,Battery,Price
Realme,P3 Lite 5G Charger in the Box,Midnight Lily,4,128,16.94,8,32MP,1,Dimensity 6300,6.0,136,"43,468",6000,10499
Realme,P3x 5G,Lunar Silver,8,128,17.06,8,50MP,1,Dimensity 6400,6.0,677,"417,060",6000,12499
Realme,P3x 5G,Midnight Blue,8,128,17.06,8,50MP,1,Dimensity 6400,6.0,677,"417,060",6000,12499
Realme,15T 5G,Suit Titanium,8,256,17.06,50,50MP + 2MP,1,MediaTek Dimensity 6400 MAX,6.0,233,"33,176",7000,22999
Realme,P4 5G,Steel Grey,8,256,17.02,16,50MP + 8MP,1,Mediatek Dimensity 7400,6.0,567,"47,919",7000,20499
Redmi,13 5G,Black Diamond,8,128,17.27,13,50MP + 2MP,1,Qualcomm Snapdragon 439,6.0,714,"212,973",5030,12390
Realme,15 Pro 5G,Velvet Green,8,256,17.02,50,50MP + 50MP,1,Snapdragon 7 Gen 4,6.0,505,"35,775",7000,33999
Samsung,Galaxy F36 5G,Red,8,256,17.02,13,50MP + 8MP + 2MP,1,Samsung Exynos 1380,6.0,218,"23,047",5000,17499
Samsung,Galaxy S24 5G Snapdragon,Onyx Black,8,128,16.74,12,50MP + 12MP,1,8 Gen 3,6.0,"2,327","642,929",4000,39999
Vivo,T4 5G,Phantom Grey,8,256,17.02,32,50MP (OIS) + 2MP,1,Snapdragon 7s Gen 3 5G,6.0,"3,452","576,191",7300,22999
